Industry,Email,Phone,Both,total,Normalized Email,Normalized Both,Normalized Phone
Other,3028,11934,1130,16092,0.188,0.070,0.742
Sales,2768,3153,949,6870,0.403,0.138,0.459
Computer-related,800,1003,238,2041,0.392,0.117,0.491
Driver,393,5125,216,5734,0.069,0.038,0.894
Restaurant,100,2392,57,2549,0.039,0.022,0.938
Warehouse,4178,6629,1992,12799,0.326,0.156,0.518
Nanny,11,325,3,339,0.032,0.009,0.959
Clerk,9278,8059,2447,19784,0.469,0.124,0.407
Service,900,1748,228,2876,0.313,0.079,0.608
